firm_id,firm_name,description_firm,website,logo,inactif
1,Tazzy,"Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit.

Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl.",http://google.com.au/nulla/neque/libero/convallis/eget/eleifend.png?non=massa&mattis=id&pulvinar=nisl&nulla=venenatis&pede=lacinia&ullamcorper=aenean&augue=sit&a=amet&suscipit=justo&nulla=morbi&elit=ut&ac=odio&nulla=cras&sed=mi&vel=pede&enim=malesuada&sit=in&amet=imperdiet&nunc=et&viverra=commodo&dapibus=vulputate&nulla=justo&suscipit=in&ligula=blandit&in=ultrices,http://dummyimage.com/129x100.png/ff4444/ffffff,false
2,Feedbug,"Fusce consequat. Nulla nisl. Nunc nisl.

Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus. Duis at velit eu est congue elementum.",https://hud.gov/diam/cras/pellentesque/volutpat/dui/maecenas/tristique.jpg?aliquet=rutrum&pulvinar=rutrum&sed=neque&nisl=aenean&nunc=auctor&rhoncus=gravida&dui=sem&vel=praesent&sem=id&sed=massa&sagittis=id&nam=nisl&congue=venenatis&risus=lacinia&semper=aenean&porta=sit&volutpat=amet&quam=justo&pede=morbi&lobortis=ut&ligula=odio&sit=cras&amet=mi&eleifend=pede&pede=malesuada&libero=in&quis=imperdiet&orci=et&nullam=commodo&molestie=vulputate&nibh=justo&in=in&lectus=blandit&pellentesque=ultrices&at=enim&nulla=lorem&suspendisse=ipsum&potenti=dolor&cras=sit&in=amet&purus=consectetuer&eu=adipiscing&magna=elit&vulputate=proin&luctus=interdum&cum=mauris&sociis=non&natoque=ligula&penatibus=pellentesque&et=ultrices&magnis=phasellus&dis=id&parturient=sapien&montes=in&nascetur=sapien&ridiculus=iaculis&mus=congue&vivamus=vivamus&vestibulum=metus&sagittis=arcu&sapien=adipiscing&cum=molestie&sociis=hendrerit&natoque=at&penatibus=vulputate&et=vitae&magnis=nisl&dis=aenean&parturient=lectus&montes=pellentesque&nascetur=eget&ridiculus=nunc&mus=donec&etiam=quis&vel=orci&augue=eget&vestibulum=orci&rutrum=vehicula&rutrum=condimentum&neque=curabitur&aenean=in&auctor=libero&gravida=ut&sem=massa&praesent=volutpat&id=convallis&massa=morbi&id=odio&nisl=odio&venenatis=elementum&lacinia=eu&aenean=interdum&sit=eu&amet=tincidunt&justo=in&morbi=leo&ut=maecenas,http://dummyimage.com/189x100.png/cc0000/ffffff,false
3,Oba,"Integer ac leo. Pellentesque ultrices mattis odio. Donec vitae nisi.

Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla. Sed vel enim sit amet nunc viverra dapibus. Nulla suscipit ligula in lacus.",http://usatoday.com/venenatis/tristique.html?mus=aliquet&etiam=ultrices&vel=erat&augue=tortor&vestibulum=sollicitudin&rutrum=mi&rutrum=sit&neque=amet&aenean=lobortis&auctor=sapien&gravida=sapien&sem=non&praesent=mi&id=integer&massa=ac&id=neque&nisl=duis&venenatis=bibendum&lacinia=morbi&aenean=non&sit=quam&amet=nec&justo=dui&morbi=luctus&ut=rutrum&odio=nulla&cras=tellus&mi=in&pede=sagittis&malesuada=dui&in=vel&imperdiet=nisl&et=duis&commodo=ac&vulputate=nibh&justo=fusce&in=lacus&blandit=purus&ultrices=aliquet&enim=at&lorem=feugiat&ipsum=non&dolor=pretium&sit=quis&amet=lectus&consectetuer=suspendisse&adipiscing=potenti&elit=in&proin=eleifend&interdum=quam&mauris=a&non=odio&ligula=in&pellentesque=hac&ultrices=habitasse&phasellus=platea&id=dictumst&sapien=maecenas&in=ut&sapien=massa&iaculis=quis&congue=augue&vivamus=luctus&metus=tincidunt&arcu=nulla&adipiscing=mollis&molestie=molestie&hendrerit=lorem&at=quisque&vulputate=ut&vitae=erat&nisl=curabitur&aenean=gravida&lectus=nisi&pellentesque=at&eget=nibh&nunc=in&donec=hac&quis=habitasse&orci=platea&eget=dictumst&orci=aliquam&vehicula=augue&condimentum=quam&curabitur=sollicitudin&in=vitae&libero=consectetuer&ut=eget&massa=rutrum&volutpat=at&convallis=lorem&morbi=integer&odio=tincidunt&odio=ante&elementum=vel,http://dummyimage.com/206x100.png/5fa2dd/ffffff,false
4,Yozio,"In sagittis dui vel nisl. Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus.

Suspendisse potenti. In eleifend quam a odio. In hac habitasse platea dictumst.

Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem. Quisque ut erat.",https://uol.com.br/lacus/at/velit.js?non=posuere&sodales=felis&sed=sed&tincidunt=lacus&eu=morbi&felis=sem&fusce=mauris&posuere=laoreet&felis=ut&sed=rhoncus&lacus=aliquet&morbi=pulvinar&sem=sed&mauris=nisl&laoreet=nunc&ut=rhoncus&rhoncus=dui&aliquet=vel&pulvinar=sem&sed=sed&nisl=sagittis&nunc=nam&rhoncus=congue&dui=risus&vel=semper&sem=porta&sed=volutpat&sagittis=quam&nam=pede&congue=lobortis&risus=ligula&semper=sit&porta=amet&volutpat=eleifend&quam=pede&pede=libero&lobortis=quis&ligula=orci&sit=nullam&amet=molestie&eleifend=nibh&pede=in&libero=lectus&quis=pellentesque&orci=at&nullam=nulla&molestie=suspendisse&nibh=potenti&in=cras&lectus=in&pellentesque=purus,http://dummyimage.com/123x100.png/dddddd/000000,true
5,Izio,Sed ante. Vivamus tortor. Duis mattis egestas metus.,http://google.de/bibendum/imperdiet/nullam/orci/pede/venenatis.jpg?morbi=magna&vel=vulputate&lectus=luctus&in=cum&quam=sociis&fringilla=natoque&rhoncus=penatibus&mauris=et&enim=magnis&leo=dis&rhoncus=parturient&sed=montes&vestibulum=nascetur&sit=ridiculus&amet=mus&cursus=vivamus&id=vestibulum&turpis=sagittis&integer=sapien&aliquet=cum&massa=sociis&id=natoque&lobortis=penatibus&convallis=et&tortor=magnis&risus=dis&dapibus=parturient&augue=montes&vel=nascetur&accumsan=ridiculus&tellus=mus&nisi=etiam&eu=vel&orci=augue&mauris=vestibulum&lacinia=rutrum&sapien=rutrum&quis=neque&libero=aenean&nullam=auctor&sit=gravida&amet=sem&turpis=praesent&elementum=id&ligula=massa&vehicula=id&consequat=nisl&morbi=venenatis&a=lacinia&ipsum=aenean&integer=sit&a=amet&nibh=justo&in=morbi&quis=ut&justo=odio&maecenas=cras&rhoncus=mi&aliquam=pede&lacus=malesuada&morbi=in&quis=imperdiet&tortor=et&id=commodo&nulla=vulputate&ultrices=justo&aliquet=in&maecenas=blandit&leo=ultrices&odio=enim&condimentum=lorem&id=ipsum&luctus=dolor,http://dummyimage.com/162x100.png/ff4444/ffffff,true
6,Oyonder,"Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque.

Duis bibendum. Morbi non quam nec dui luctus rutrum. Nulla tellus.

In sagittis dui vel nisl. Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus.",https://youtube.com/curae/mauris/viverra/diam/vitae/quam/suspendisse.js?nulla=sit&tellus=amet&in=cursus&sagittis=id&dui=turpis&vel=integer&nisl=aliquet&duis=massa&ac=id&nibh=lobortis&fusce=convallis&lacus=tortor&purus=risus&aliquet=dapibus&at=augue&feugiat=vel&non=accumsan&pretium=tellus&quis=nisi&lectus=eu&suspendisse=orci&potenti=mauris&in=lacinia&eleifend=sapien&quam=quis&a=libero&odio=nullam&in=sit&hac=amet&habitasse=turpis&platea=elementum&dictumst=ligula&maecenas=vehicula&ut=consequat&massa=morbi&quis=a&augue=ipsum&luctus=integer&tincidunt=a&nulla=nibh&mollis=in&molestie=quis&lorem=justo&quisque=maecenas&ut=rhoncus&erat=aliquam&curabitur=lacus&gravida=morbi&nisi=quis&at=tortor&nibh=id&in=nulla&hac=ultrices&habitasse=aliquet&platea=maecenas&dictumst=leo&aliquam=odio&augue=condimentum&quam=id&sollicitudin=luctus&vitae=nec&consectetuer=molestie&eget=sed&rutrum=justo&at=pellentesque&lorem=viverra&integer=pede&tincidunt=ac&ante=diam&vel=cras&ipsum=pellentesque&praesent=volutpat&blandit=dui&lacinia=maecenas,http://dummyimage.com/189x100.png/5fa2dd/ffffff,true
7,InnoZ,Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque.,https://hp.com/metus/aenean.png?quisque=accumsan&erat=felis&eros=ut&viverra=at&eget=dolor&congue=quis&eget=odio&semper=consequat&rutrum=varius&nulla=integer&nunc=ac&purus=leo&phasellus=pellentesque&in=ultrices&felis=mattis&donec=odio&semper=donec&sapien=vitae&a=nisi&libero=nam&nam=ultrices&dui=libero&proin=non&leo=mattis&odio=pulvinar&porttitor=nulla&id=pede&consequat=ullamcorper&in=augue&consequat=a&ut=suscipit&nulla=nulla&sed=elit&accumsan=ac&felis=nulla&ut=sed&at=vel&dolor=enim&quis=sit&odio=amet&consequat=nunc&varius=viverra&integer=dapibus&ac=nulla&leo=suscipit&pellentesque=ligula&ultrices=in&mattis=lacus&odio=curabitur&donec=at&vitae=ipsum&nisi=ac&nam=tellus&ultrices=semper&libero=interdum&non=mauris&mattis=ullamcorper&pulvinar=purus&nulla=sit&pede=amet&ullamcorper=nulla&augue=quisque&a=arcu,http://dummyimage.com/241x100.png/ff4444/ffffff,false
8,Trilia,"Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus.",https://npr.org/varius/nulla/facilisi/cras.html?at=mauris&turpis=morbi&a=non&pede=lectus&posuere=aliquam&nonummy=sit&integer=amet&non=diam&velit=in&donec=magna&diam=bibendum&neque=imperdiet&vestibulum=nullam&eget=orci&vulputate=pede&ut=venenatis&ultrices=non&vel=sodales&augue=sed&vestibulum=tincidunt&ante=eu&ipsum=felis&primis=fusce&in=posuere&faucibus=felis&orci=sed&luctus=lacus&et=morbi&ultrices=sem&posuere=mauris&cubilia=laoreet&curae=ut&donec=rhoncus&pharetra=aliquet&magna=pulvinar&vestibulum=sed&aliquet=nisl&ultrices=nunc&erat=rhoncus&tortor=dui&sollicitudin=vel&mi=sem&sit=sed&amet=sagittis&lobortis=nam&sapien=congue&sapien=risus&non=semper&mi=porta&integer=volutpat&ac=quam&neque=pede&duis=lobortis&bibendum=ligula&morbi=sit&non=amet&quam=eleifend&nec=pede&dui=libero,http://dummyimage.com/204x100.png/ff4444/ffffff,true
9,Lazz,"Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros.

Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat.

In congue. Etiam justo. Etiam pretium iaculis justo.",http://geocities.jp/ridiculus.jsp?in=tincidunt&faucibus=in&orci=leo&luctus=maecenas&et=pulvinar&ultrices=lobortis&posuere=est&cubilia=phasellus&curae=sit&mauris=amet&viverra=erat&diam=nulla&vitae=tempus&quam=vivamus&suspendisse=in&potenti=felis&nullam=eu&porttitor=sapien&lacus=cursus&at=vestibulum&turpis=proin&donec=eu&posuere=mi&metus=nulla&vitae=ac&ipsum=enim&aliquam=in&non=tempor&mauris=turpis&morbi=nec&non=euismod&lectus=scelerisque&aliquam=quam&sit=turpis&amet=adipiscing&diam=lorem&in=vitae&magna=mattis&bibendum=nibh&imperdiet=ligula&nullam=nec&orci=sem&pede=duis&venenatis=aliquam&non=convallis,http://dummyimage.com/103x100.png/5fa2dd/ffffff,false
10,Browsedrive,"Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy. Integer non velit.

Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque.",http://mapquest.com/varius.jsp?fusce=vivamus&congue=vel&diam=nulla&id=eget&ornare=eros&imperdiet=elementum&sapien=pellentesque&urna=quisque&pretium=porta&nisl=volutpat&ut=erat&volutpat=quisque&sapien=erat&arcu=eros&sed=viverra&augue=eget&aliquam=congue&erat=eget&volutpat=semper&in=rutrum&congue=nulla&etiam=nunc&justo=purus&etiam=phasellus&pretium=in&iaculis=felis&justo=donec&in=semper&hac=sapien&habitasse=a&platea=libero&dictumst=nam&etiam=dui&faucibus=proin&cursus=leo&urna=odio&ut=porttitor&tellus=id&nulla=consequat&ut=in&erat=consequat&id=ut&mauris=nulla,http://dummyimage.com/187x100.png/ff4444/ffffff,true
